Malayalam 2,,Code
പേന,,28:39:15:11:40:40
പന,,39:39:15:11:40:40
ആന,,24:39:5:11:40:40
ആമ,,24:39:5:10:40:40
ആവി,,24:29:5:20:40:40
ചായ,,24:39:6:21:40:40
ഇര,,29:39:5:16:40:40
കുട,,37:39:8:18:40:40
വടി,,39:29:20:18:40:40
മഴ,,39:39:10:9:40:2
പുഴ,,37:39:15:9:40:2
കര,,39:39:8:16:40:40
വീണ,,30:39:20:13:40:40
ഋഷി,,35:29:5:17:40:2
ഏണി,,28:29:5:13:40:40
കഥ,,39:39:8:19:40:0
പുലി,,37:29:15:9:40:40
എലി,,27:29:5:9:40:40
ഇല,,29:39:5:9:40:40
പൂവ്,,38:41:15:20:40:40
കായ,,24:39:8:21:40:40
കണി,,39:29:8:13:40:40
ചിരി,,29:29:6:16:40:40
വര,,39:39:20:16:40:40
തിരി,,29:29:19:16:40:40
ജോലി,,34:29:6:9:3:40
ആയ,,24:39:5:21:40:40
ചാവി,,24:29:6:20:40:40
ലേസ്,,28:41:9:17:40:40
വാര,,24:39:20:16:40:40
മാഷ്,,24:41:10:17:40:2
ഈശോ,,30:34:5:17:40:2
റൂഹ,,38:39:16:7:2:40
മേശ,,28:39:10:17:40:2
നോന,,34:39:11:11:40:40
പാര,,24:39:15:16:40:40
പേര,,28:39:15:16:40:40
തിര,,29:39:19:16:40:40
അറ്,,39:41:5:16:40:2
ഏഴ്,,28:41:5:9:40:2
നാളെ,,24:27:11:9:40:2
നീല,,30:39:11:9:40:40
പാല്,,24:41:15:9:40:40
വീട്,,30:41:20:18:40:40
മുറി,,37:29:10:16:40:2
മേശ,,28:39:10:17:40:2
പശു,,39:37:15:17:40:2
ഷൂസ്,,38:41:17:17:2:40
ബസ്,,39:41:15:17:3:40
മുടി,,37:29:10:18:40:40
വായ്,,24:41:20:21:40:40
