Bengali 2,Bharati,Code
খাল,,24:39:8:9:0:40
বিল,,29:39:15:9:3:40
নদী,,39:30:11:19:40:3
নালা,,24:24:11:9:40:40
জালা,,24:24:6:9:3:40
মাঠ,,24:39:10:18:40:0
ঘাট,,24:39:8:18:4:40
পথ,,39:39:15:19:40:0
রথ,,39:39:16:19:40:0
বন,,39:39:15:11:3:40
ঘর,,39:39:8:16:4:40
ফুল,,37:39:15:9:0:40
মুল,,37:39:10:9:40:40
কুল,,37:39:8:9:40:40
কূল,,38:39:8:9:40:40
ধুল,,37:39:19:9:4:40
কর,,39:39:8:16:40:40
বল,,39:39:15:9:3:40
লব,,39:39:9:15:40:3
যব,,39:39:21:15:40:3
গম,,39:39:8:10:3:40
অালু,,24:37:5:9:40:40
রুটি,,37:29:16:18:40:40
নাক,,24:39:11:8:40:40
কান,,24:39:8:11:40:40
গলা,,39:24:8:9:3:40
চোখ,,34:39:6:8:40:0
মুখ,,37:39:10:8:40:0
চুল,,37:39:6:9:40:40
নখ,,39:39:11:8:40:0
হাত,,24:39:7:19:40:40
ঠোট,,34:39:18:18:0:40
চল,,39:39:6:9:40:40
বই,,39:29:15:5:3:40
খাতা,,24:24:8:19:0:40
নাক,,24:39:11:8:40:40
আমি,,24:29:5:10:40:40
ভাত,,24:39:15:19:4:40
খাব,,24:39:8:15:0:3
মাছ,,24:39:10:6:40:0
দই,,39:29:19:5:3:40
ডাল,,24:39:18:9:3:40
চাল,,24:39:6:9:40:40
রুটি,,37:29:16:18:40:40
ফল,,39:39:15:9:0:40
জল,,39:39:6:9:3:40
ডাব,,24:39:18:15:3:3
দুধ,,37:39:19:19:3:4
ছানা,,24:24:6:11:0:40
ছাচ,,24:39:6:6:0:40
