Tamil 3,,Bharati
அரசு,,39:39:37:5:16:6:40:40:40
அருவி,,39:37:29:5:16:20:40:40:40
உதடு,,37:39:37:5:19:18:40:40:40
கடமை,,39:39:25:8:18:10:40:40:40
கணினி,,39:29:29:8:13:11:40:40:2
கயிறு,,39:29:37:8:21:16:40:40:2
கயிறு,,39:29:37:8:21:16:40:40:2
குருவி,,37:37:29:8:16:20:40:40:40
சிறகு,,29:39:37:6:16:8:40:2:40
செயலி,,27:39:29:6:21:9:40:40:40
தரவு,,39:39:37:19:16:20:40:40:40
தாமரை,,24:39:25:19:10:16:40:40:40
நெளிவு,,27:29:37:11:9:20:40:2:40
பணிவு,,39:29:37:15:13:20:40:40:40
படகு,,39:39:37:15:18:8:40:40:40
பறவை,,39:39:25:15:16:20:40:2:40
பொறுமை,,33:37:25:15:16:10:40:2:40
முடிவு,,37:29:37:10:18:20:40:40:40
விசிறி,,29:29:29:20:6:16:40:40:2
விடுதி,,29:37:29:20:18:19:40:40:40
விநாடி,,29:24:29:20:11:18:40:40:40
வலிமை,,39:29:25:20:9:10:40:40:40
வறுமை,,39:37:25:20:16:10:40:2:40
விருது,,29:37:37:20:16:19:40:40:40
விரைவு,,29:25:37:20:16:20:40:40:40
வரவு,,39:39:37:20:16:20:40:40:40
வரிசை,,39:29:25:20:16:6:40:40:40
வருக,,39:37:39:20:16:8:40:40:40
வசதி,,39:39:29:20:6:19:40:40:40
முதலை,,37:39:25:10:19:9:40:40:40
முதுகு,,37:37:37:10:19:8:40:40:40
முதுமை,,37:37:25:10:19:10:40:40:40
பெரிது,,27:29:37:15:16:19:40:40:40
புதினா,,37:29:24:15:19:11:40:40:2
புதுமை,,37:37:25:15:19:10:40:40:40
பறவை,,39:39:25:15:16:20:40:2:40
பலகை,,39:39:25:15:9:8:40:40:40
நுழைவு,,37:25:37:11:9:20:40:2:40
துணிவு,,37:29:37:19:13:20:40:40:40
துளசி,,37:39:29:19:9:6:40:2:40
துறவு,,37:39:37:19:16:20:40:2:40
தொழுகை,,33:37:25:19:9:8:40:2:40
தராசு,,39:24:37:19:16:6:40:40:40
தவளை,,39:39:25:19:20:9:40:40:2
தவறு,,39:39:37:19:20:16:40:40:2
சிறகு,,29:39:37:6:16:8:40:2:40
சிறிது,,29:29:37:6:16:19:40:2:40
சிறுமி,,29:37:29:6:16:10:40:2:40
குருவி,,37:37:29:8:16:20:40:40:40
குவளை,,37:39:25:8:20:9:40:40:2
கருணை,,39:37:25:8:16:13:40:40:40
கழுகு,,39:37:37:8:9:8:40:2:40
கழுதை,,39:37:25:8:9:19:40:2:40
எருது,,27:37:37:5:16:19:40:40:40
கயிறு,,39:29:37:8:21:16:40:40:2
கடலை,,39:39:25:8:18:9:40:40:40
அழகு,,39:39:37:5:9:8:40:2:40
அழிவு,,39:29:37:5:9:20:40:2:40
அழுகை,,39:37:25:5:9:8:40:2:40
